endTime,artistName,trackName,msPlayed
2023-12-31 17:47,Piano Fantasia,Song for Denise,74222
2023-12-31 17:49,Vishvajeet Choudhary,Gajban,116966
2023-12-31 17:51,Gajender Phogat,Bahu Kale Ki,102973
2023-12-31 17:51,Atif Aslam,Rafta Rafta,6120
2023-12-31 17:52,Raju Punjabi,Bhaan Ka Rola,84804
2023-12-31 17:54,Bhag Bc,Chal Hatt Bahen Ki Lodi,72286
2023-12-31 17:56,Raju Punjabi,Solid Body,111621
2023-12-31 17:58,Sunidhi Chauhan,Beedi,131028
2023-12-31 18:01,Mamta Sharma,Tinku Jiya,180136
2023-12-31 18:04,Pritam,Billo Rani,180571
2023-12-31 18:07,Masoom Sharma,English Medium,48331
2023-12-31 18:07,Vishvajeet Choudhary,Gajban,8193
2023-12-31 18:07,Pritam,Subha Hone Na De,160050
2023-12-31 18:09,Renuka Panwar,Kabootar,85010
2023-12-31 18:09,Anirudh Ravichander,Chaleya,843
2023-12-31 18:10,Anirudh Ravichander,Badass,49792
2023-12-31 18:13,Anirudh Ravichander,Chaleya,200373
2023-12-31 18:14,Anirudh Ravichander,Badass,60336
2023-12-31 18:15,Manan Bhardwaj,Arjan Vailly,68104
2023-12-31 18:19,Anirudh Ravichander,"Chaleya (From ""Jawan"")",200373
2023-12-31 18:21,Pritam,Billo Rani,25302
2023-12-31 18:21,Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",112597
2023-12-31 18:21,Diljit Dosanjh,G.O.A.T.,9393
2023-12-31 18:40,Param Singh,Daru Badnaam,84900
2024-01-01 05:41,Badal,Dream Girl,198117
2024-01-01 05:44,Badal,This is Haryana,132247
2024-01-01 05:45,King,Baap Aa Gaya Hai,19791
2024-01-01 05:49,AUR,Tu hai kahan,263184
2024-01-01 05:52,Seedhe Maut,Khatta Flow,152415
2024-01-01 05:55,Anuv Jain,Baarishein,207312
2024-01-01 05:59,Rashid Ali,Kabhi Kabhi Aditi,218836
2024-01-01 06:04,Atif Aslam,Woh Lamhe Woh Baatein,320040
2024-01-01 06:04,Irshad Khan,Haryana Hood,12256
